"";"k";"alpha";"delta";"burnin";"iter";"thin";"keep";"seed";"perplexity"
"120";6;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3008,07971489705
"121";6;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2663,02882106777
"122";6;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2980,8364903781
"123";6;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3043,48541000202
"124";6;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3000,04295946002
"125";6;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2986,41236239312
"126";7;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2627,74283209973
"127";7;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2915,71388138533
"128";7;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3033,01933143321
"129";7;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2880,15447406982
"130";7;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2957,0716249332
"131";7;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2637,66058312488
"132";7;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2922,88890337646
"133";7;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3020,14222370905
"134";7;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2884,92701821422
"135";7;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2946,84395396851
"136";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2597,92705374475
"137";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2838,21619480236
"138";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2931,59062391931
"139";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2806,54515078249
"140";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2895,9729991269
"141";7;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2626,65345233674
"142";7;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2894,25016073782
"143";7;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2994,18043139715
"144";7;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2885,21846571721
"145";7;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2947,3238019521
"146";7;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2609,26089787798
"147";7;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2885,96573562219
"148";7;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3000,31994530048
"149";7;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2835,82684740261
"150";7;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2913,00717190691
"151";8;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2605,92780446083
"152";8;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2795,3429931561
"153";8;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2934,85171946514
"154";8;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2828,3207537971
"155";8;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2881,6004520664
"156";8;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2616,18554578597
"157";8;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2833,0747527619
"158";8;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2915,27892542803
"159";8;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2826,12786842979
"160";8;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2854,45315830104
"161";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2505,31961695419
"162";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2751,23200131153
"163";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2866,04022815571
"164";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2758,27194636634
"165";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2794,53064501898
"166";8;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2643,17545834179
"167";8;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2827,69509331985
"168";8;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2884,54983820308
"169";8;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2829,12514999312
"170";8;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2865,72600377586
"171";8;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2618,82319298603
"172";8;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2787,44879481131
